timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688548957189,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-1,text,false,,822,0,1,1,null,0,0,0
1688548957232,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-2,text,false,,822,0,2,2,null,0,0,0
1688548957283,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-3,text,false,,822,0,3,3,null,0,0,0
1688548957334,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-4,text,false,,822,0,4,4,null,0,0,0
1688548957383,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-5,text,false,,822,0,5,5,null,0,0,0
1688548957429,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-6,text,false,,822,0,6,6,null,0,0,0
1688548957482,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-7,text,false,,822,0,7,7,null,0,0,0
1688548957526,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-8,text,false,,822,0,8,8,null,0,0,0
1688548957577,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-9,text,false,,822,0,9,9,null,0,0,0
1688548957639,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-10,text,false,,822,0,10,10,null,0,0,0
1688548957685,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-11,text,false,,822,0,11,11,null,0,0,0
1688548957729,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-12,text,false,,822,0,12,12,null,0,0,0
1688548957257,554,Get Users,200,OK,Endurance Test 1-2,text,true,,1699,160,12,12,https://dummyjson.com/users/1?postid=1,552,0,389
1688548957216,594,Get Users,200,OK,Endurance Test 1-1,text,true,,1699,160,12,12,https://dummyjson.com/users/1?postid=1,594,0,430
1688548957292,518,Get Users,200,OK,Endurance Test 1-3,text,true,,1699,160,12,12,https://dummyjson.com/users/1?postid=1,518,0,355
1688548957347,474,Get Users,200,OK,Endurance Test 1-4,text,true,,1699,160,13,13,https://dummyjson.com/users/1?postid=1,474,0,320
1688548957821,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-13,text,false,,822,0,13,13,null,0,0,0
1688548957840,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-14,text,false,,822,0,14,14,null,0,0,0
1688548957393,486,Get Users,200,OK,Endurance Test 1-5,text,true,,1699,160,14,14,https://dummyjson.com/users/1?postid=1,486,0,328
1688548957885,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-15,text,false,,822,0,15,15,null,0,0,0
1688548957432,471,Get Users,200,OK,Endurance Test 1-6,text,true,,1699,160,15,15,https://dummyjson.com/users/1?postid=1,471,0,316
1688548957935,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-16,text,false,,822,0,16,16,null,0,0,0
1688548957485,485,Get Users,200,OK,Endurance Test 1-7,text,true,,1699,160,16,16,https://dummyjson.com/users/1?postid=1,485,0,329
1688548957815,155,Create a user,200,OK,Endurance Test 1-3,text,true,,1193,237,16,16,https://dummyjson.com/users/add,155,0,0
1688548957816,155,Create a user,200,OK,Endurance Test 1-2,text,true,,1193,237,16,16,https://dummyjson.com/users/add,155,0,0
1688548957815,157,Create a user,200,OK,Endurance Test 1-1,text,true,,1193,237,16,16,https://dummyjson.com/users/add,157,0,0
1688548957821,152,Create a user,200,OK,Endurance Test 1-4,text,true,,1193,237,16,16,https://dummyjson.com/users/add,152,0,0
1688548957986,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-17,text,false,,822,0,17,17,null,0,0,0
1688548957527,473,Get Users,200,OK,Endurance Test 1-8,text,true,,1699,160,17,17,https://dummyjson.com/users/1?postid=1,473,0,317
1688548957879,155,Create a user,200,OK,Endurance Test 1-5,text,true,,1193,237,18,18,https://dummyjson.com/users/add,155,0,0
1688548958034,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-18,text,false,,822,0,18,18,null,0,0,0
1688548957582,471,Get Users,200,OK,Endurance Test 1-9,text,true,,1699,160,18,18,https://dummyjson.com/users/1?postid=1,471,0,316
1688548957903,154,Create a user,200,OK,Endurance Test 1-6,text,true,,1193,237,18,18,https://dummyjson.com/users/add,154,0,0
1688548958085,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Endurance Test 1-19,text,false,,822,0,19,19,null,0,0,0
1688548957642,471,Get Users,200,OK,Endurance Test 1-10,text,true,,1699,160,19,19,https://dummyjson.com/users/1?postid=1,471,0,315
1688548957970,155,Create a user,200,OK,Endurance Test 1-7,text,true,,1193,237,19,19,https://dummyjson.com/users/add,155,0,0
1688548957971,154,Delete user,200,OK,Endurance Test 1-3,text,true,,1755,237,19,19,https://dummyjson.com/users/1,154,0,0
1688548957971,154,Delete user,200,OK,Endurance Test 1-2,text,true,,1755,237,19,19,https://dummyjson.com/users/1,154,0,0
